Sno,Country Name,Year,Urban land area where elevation is below 5 meters (sq. km) Value,Ease of doing business rank (1=most business-friendly regulations) Value,CO2 intensity (kg per kg of oil equivalent energy use) Value,"Droughts, floods, extreme temperatures (% of population, average 1990-2009) Value",Total greenhouse gas emissions (% change from 1990) Value,CO2 emissions from solid fuel consumption (kt) Value,Cereal yield (kg per hectare) Value,CO2 emissions (kg per 2015 US$ of GDP) Value,"Community health workers (per 1,000 people) Value",Average precipitation in depth (mm per year) Value,Urban population growth (annual %) Value,Population living in areas where elevation is below 5 meters (% of total population) Value,Forest area (% of land area) Value,Methane emissions (% change from 1990) Value,Forest area (sq. km) Value,Renewable energy consumption (% of total final energy consumption) Value,Population growth (annual %) Value,"Annual freshwater withdrawals, total (billion cubic meters) Value","Population, total Value",Urban population Value,Total greenhouse gas emissions (kt of CO2 equivalent) Value,#indicator+name Value,CO2 emissions from liquid fuel consumption (kt) Value,"Annual freshwater withdrawals, total (% of internal resources) Value","Primary completion rate, total (% of relevant age group) Value",Disaster risk reduction progress score (1-5 scale; 5=best) Value,Nitrous oxide emissions (thousand metric tons of CO2 equivalent) Value,"Foreign direct investment, net inflows (% of GDP) Value","School enrollment, primary and secondary (gross), gender parity index (GPI) Value",CO2 emissions from gaseous fuel consumption (% of total) Value,CO2 emissions (kg per PPP $ of GDP) Value,Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population) Value,Agricultural irrigated land (% of total agricultural land) Value,Arable land (% of land area) Value,CO2 emissions (metric tons per capita) Value,Rural land area where elevation is below 5 meters (% of total land area) Value,CO2 emissions from gaseous fuel consumption (kt) Value,Land area where elevation is below 5 meters (% of total land area) Value,"Other greenhouse gas emissions, HFC, PFC and SF6 (thousand metric tons of CO2 equivalent) Value",Urban population (% of total population) Value,Terrestrial and marine protected areas (% of total territorial area) Value,Agricultural land (sq. km) Value,Nitrous oxide emissions (% change from 1990) Value,Terrestrial protected areas (% of total land area) Value,Urban population living in areas where elevation is below 5 meters (% of total population) Value,Access to electricity (% of population) Value,CO2 emissions (kg per 2017 PPP $ of GDP) Value,Marine protected areas (% of territorial waters) Value,Methane emissions (kt of CO2 equivalent) Value,CO2 emissions (kt) Value,"Mortality rate, under-5 (per 1,000 live births) Value","Agriculture, forestry, and fishing, value added (% of GDP) Value",CO2 emissions from solid fuel consumption (% of total) Value,Other greenhouse gas emissions (% change from 1990) Value,SF6 gas emissions (thousand metric tons of CO2 equivalent) Value,Rural population living in areas where elevation is below 5 meters (% of total population) Value,Population in urban agglomerations of more than 1 million (% of total population) Value,"Prevalence of underweight, weight for age (% of children under 5) Value",CPIA public sector management and institutions cluster average (1=low to 6=high) Value,Rural land area where elevation is below 5 meters (sq. km) Value,CO2 emissions from liquid fuel consumption (% of total) Value,PFC gas emissions (thousand metric tons of CO2 equivalent) Value,HFC gas emissions (thousand metric tons of CO2 equivalent) Value,GHG net emissions/removals by LUCF (Mt of CO2 equivalent) Value,Agricultural land (% of land area) Value,Urban land area where elevation is below 5 meters (% of total land area) Value,RainFall Mean ()
1,Pakistan,1960,,,,,,5892.869,,,,,,,,,,,,,44988690,9944300,,,6552.929,,,,,,,8.005181347,,,,,,,1133.103,,,22.104,,,,,,,,,,,252,43.1892013,41.63212435,,,,11.5011773,,,,46.29533679,,,,,,22.96876417
2,Pakistan,1961,,,,,,5804.861,856.4,,,,4.144844066,,,,,,2.364728894,,46065229,10365137,,,6857.29,,,,,,,9.382036527,,,,39.66894977,,,1375.125,,,22.501,,357300,,,,,,,,,243,41.72742569,39.60470353,,,,11.79977419,,,,46.78508882,,,,46.3496264,,30.01744917
3,Pakistan,1962,,,,,,6189.896,858,,,494,3.536128329,,,,,,2.431187683,,47198886,10738219,,,7521.017,,,,,,,10.54189435,,,,39.81164384,,,1697.821,,,22.751,,358400,,,,,,,,,234.5,40.02923264,38.43351548,,,,12.05785662,,,,46.69854281,,,,46.49232046,,22.300155
4,Pakistan,1963,,,,,,6681.274,877.7,,,,3.583896175,,,,,,2.486694731,,48387293,11130045,,,8958.481,,,,,,,11.48742325,,,,39.86353259,,,2126.86,,,23.002,,358800,,,,,,,,,226.5,38.84001451,36.08635373,,,,12.31575612,,,,48.38581897,,,,46.54420922,,18.84656167
5,Pakistan,1964,,,,,,6523.593,886.5,,,,3.629236247,,,,,,2.53103561,,49627623,11541400,,,9068.491,,,,,,,14.04353689,,,,40.4732254,,,2673.243,,,23.256,,363550,,,,,,,,,219.3,38.3240539,34.2708534,,,,12.57540785,,,,47.64014641,,,,47.16038813,,25.16966333
6,Pakistan,1965,,,,,,6171.561,886.6,,,,3.657363596,,,,,,2.56684106,,50917975,11971325,,,9787.223,,,,,,,15.84358362,,,,41.61477792,,,3164.621,,,23.511,,372350,,,,,,,,,212.7,36.96830175,30.89774188,,,,12.83533369,,,,48.99944924,,,,48.30194064,,24.4512575
7,Pakistan,1966,,,,,,5331.818,840,,,,3.69325879,,,,,,2.601875717,,52260183,12421723,,,10498.621,,,,,,,17.58975284,,,,41.84827729,,,3575.325,,,23.769,,374150,,,,,,,,,207,33.83689668,26.2312827,,,,13.09790477,,,,51.65073065,,,,48.53544002,,22.54825917
8,Pakistan,1967,,,,,,5236.476,904.2,,,494,3.71921265,,,,,,2.63544927,,53655783,12892412,,,11151.347,,,,,,,19.32687404,,,,41.91313823,,,4169.379,,,24.028,,374700,,,,,,,,,202.1,35.05317054,24.27332993,,,,13.36241053,,,,51.69131396,,,,48.60678705,,31.15643583
9,Pakistan,1968,,,,,,5680.183,1131.6,,,,3.741297307,,,,,,2.660928079,,55102690,13383892,,,13164.53,,,,,,,18.91491254,,,,41.5239726,,,4679.092,,,24.289,,371700,,,,,,,,,197.8,36.54167537,22.96175511,,,,13.63071022,,,,53.21672102,,,,48.21762142,,18.00598667
10,Pakistan,1969,,,,,,5240.143,1192,,,,3.754747947,,,,,,2.677772853,,56598148,13895977,,,11653.726,,,,,,,24.0256763,,,,39.61706102,,,5764.524,,,24.552,,357000,,,,,,,,,193.9,33.95003507,21.84013449,,,,13.90133296,,,,48.5709919,,,,46.31070984,,18.71605667
